name,categories,Small Category,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,postalCode,state,id,Cluster Labels
Faith Friends Church,Church,Church,"310 S 7th St, Lamar, CO 81052",US,Lamar,United States,,472,"['310 S 7th St, Lamar, CO 81052', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.081865600147495, 'lng': -102.6223662243261}]",38.0818656,-102.6223662,81052,CO,4f81a0f4e4b00084db79b12f,3
Saint Francis de Sales,Church,Church,,US,Lamar,United States,,656,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.084761755118826, 'lng': -102.61123012463636}]",38.08476176,-102.6112301,,CO,52484291498e0fe469156776,0
Quality Dry Cleaners,Clothing Store,Service,,US,Lamar,United States,,383,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088242, 'lng': -102.620152}]",38.088242,-102.620152,81052,CO,51240b59e4b05a08170daf98,4
The Brew,Coffee Shop,Restaurant,,US,Lamar,United States,,380,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.088398, 'lng': -102.618875}]",38.088398,-102.618875,,CO,520b92f711d24b6a1c27ae34,4
Lamar Community Building,Community Center,Government,,US,Lamar,United States,,339,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08325665746605, 'lng': -102.62191371756603}]",38.08325666,-102.6219137,81052,CO,4dc1d8aa1f6ebdce471beacf,3
Prowers County Court House,Courthouse,Government,,US,Lamar,United States,,233,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08708791052275, 'lng': -102.61873101716857}]",38.08708791,-102.618731,81052,CO,4ddff26c52b16128c625bf87,4
Fellowship Credit Union,Credit Union,Service,803 E Olive St,US,Lamar,United States,,912,"['803 E Olive St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088719, 'lng': -102.609449}]",38.088719,-102.609449,81052,CO,4cb317eb1463a143c4dfb1a9,0
Lamar Dental,Dentist's Office,Medical,"110 S 5th St, Lamar, CO 81052",US,Lamar,United States,,422,"['110 S 5th St, Lamar, CO 81052', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08875399556856, 'lng': -102.61931967279067}]",38.088754,-102.6193197,81052,CO,4f05ba380e61b14c288f717e,4
Family Dollar,Discount Store,Retail,1303 S Main St,US,Lamar,United States,,1033,"['1303 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.075722380366614, 'lng': -102.61947664812836}]",38.07572238,-102.6194766,81052,CO,4f4e5df0e4b0ca2992aea4b4,1
RadioShack,Electronics Store,Retail,509 E Olive St,US,Lamar,United States,,637,"['509 E Olive St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088678420277155, 'lng': -102.61316299438477}]",38.08867842,-102.613163,81052,CO,4c60645ec6a103bba60d685b,0
Parkview Elementary School,Elementary School,Education,,US,Lamar,United States,,693,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.07971425700346, 'lng': -102.61450399704705}]",38.07971426,-102.614504,,CO,5411ba76498ec3f13bd567fc,1
Washington Elementary school,Elementary School,Education,,US,Lamar,United States,,600,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.08398791204086, 'lng': -102.6254586881906}]",38.08398791,-102.6254587,,CO,5361467b498ea3356a0937fb,3
Hanagan Farm Market,Farmers Market,Retail,,US,Lamar,United States,,945,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.0886513, 'lng': -102.6089829}]",38.0886513,-102.6089829,81052,CO,4e53dbbf22711d4da5c15458,0
H&R Block,Financial or Legal Service,Service,107 E Elm St,US,Lamar,United States,,267,"['107 E Elm St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.087372090020494, 'lng': -102.61833362281322}]",38.08737209,-102.6183336,81052,CO,4cfe6e4147699eb040431615,4
Edward Jones - Financial Advisor: Bob Jarvis,Financial or Legal Service,Service,800 S Main St,US,Lamar,United States,,362,"['800 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.081738, 'lng': -102.6189646}]",38.081738,-102.6189646,81052,CO,50cd2988e4b0fb932dd2295d,1
Thoughts In Bloom,Flower Shop,Retail,107 S Main St,US,Lamar,United States,,438,"['107 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08891029999999, 'lng': -102.6190941}]",38.0889103,-102.6190941,81052,CO,4f9b8c17bb3d11bb9feffb16,4
Elm Street Perk,Food,Restaurant,117 W Elm St,US,Lamar,United States,,245,"['117 W Elm St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.087156, 'lng': -102.619204}]",38.087156,-102.619204,81052,CO,4f328c7919836c91c7e29874,4
Daylight Donuts,Food,Restaurant,109 S Main St,US,Lamar,United States,,429,"['109 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08881748052334, 'lng': -102.61932527904906}]",38.08881748,-102.6193253,81052,CO,4e2586b3b0fbf642a8ff3f06,4
Lamar Savage Stadium,Football Stadium,Government,,US,Lamar,United States,,553,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.082931, 'lng': -102.62447}]",38.082931,-102.62447,81052,CO,505d0bfbe4b0ddb6e84bf47d,3
Peacock Funeral Home,Funeral Home,Service,201-299 S 4th St,US,Lamar,United States,,290,"['201-299 S 4th St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.087585491599924, 'lng': -102.61838343144383}]",38.08758549,-102.6183834,81052,CO,4c9a360d9c66370458b056fd,4
Cook's Floor and Wall,Furniture / Home Store,Retail,209 E Olive St,US,Lamar,United States,Fourth Street,369,"['209 E Olive St (Fourth Street)', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08811569213867, 'lng': -102.61730194091797}]",38.08811569,-102.6173019,81052,CO,51683c07e4b0dfab2344fae1,4
Loaf N Jug,Gas Station,Retail,1107 S Main St,US,Lamar,United States,,748,"['1107 S Main St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.078294, 'lng': -102.617949}]",38.078294,-102.617949,81052,CO,4bfb1556f214a59330c6ae0e,1
Sinclair,Gas Station,Retail,,US,Lamar,United States,,788,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.092038, 'lng': -102.619521}]",38.092038,-102.619521,81052,CO,4fb6a37ee4b0a718730a1d0e,2
